"","Year","Area","Street","Street.2","Strange.HTML"
"2644",2011,"","Exchange str.","Exchange Str",""
"2645",2011,"","Exchange str. City Centre Wolverhampton","Exchange Str City Centre Wolverhampton",""
"2646",2011,"","Farndale ave.",NA,""
"2647",2011,"","Filey str. Wolverhampton","Filey Str Wolverhampton",""
"2648",2011,"","Front Office",NA,""
"2649",2011,"","Front Office",NA,""
"2650",2011,"","Front Office Wolverhampton Central Ps",NA,""
"2651",2011,"","Front Offive Bilston str. Pol Stn","Front Offive Bilston Str Pol Stn",""
"2652",2011,"","Furs Public House",NA,""
"2653",2011,"","Gafo",NA,""
"2654",2011,"","Garrick str.","Garrick Str",""
"2655",2011,"","Garrick str. Wolverhampton","Garrick Str Wolverhampton",""
"2656",2011,"","Great Hampton str.","Great Hampton Str",""
"2657",2011,"","Great Hampton str.","Great Hampton Str",""
"2658",2011,"","Greenpark ave.",NA,""
"2659",2011,"","Haden Hill Chapel Ash Wolverhampton",NA,""
"2660",2011,"","Hart rd. Wednesfield Wton","Hart str. Wednesfield Wton",""
"2661",2011,"","High str. Bilston","High Str Bilston",""
"2662",2011,"","Indi Bar Lichfield str.","Indi Bar Lichfield Str",""
"2663",2011,"","Jack Hayward Way",NA,""
"2664",2011,"","Junction 10 O S Village Hotel",NA,""
"2665",2011,"","Laurel rd. Dudley","Laurel str. Dudley",""
"2666",2011,"","Leacroft ave.",NA,""
"2667",2011,"","Leacroft ave.",NA,""
"2668",2011,"","Lennox Gardens Wton",NA,""
"2669",2011,"","Lewisham str. Wolverhampton","Lewisham Str Wolverhampton",""
"2670",2011,"","Lichfiedl str.","Lichfiedl Str",""
"2671",2011,"","Lichfield str.","Lichfield Str",""
"2672",2011,"","Lichfield str. City Centre Wolves","Lichfield Str City Centre Wolves",""
"2673",2011,"","Lichfield str. Wolverhampton","Lichfield Str Wolverhampton",""
"2674",2011,"","Lichfield str. Wton","Lichfield Str Wton",""
"2675",2011,"","Lichfield str.","Lichfield Str",""
"2676",2011,"","Lichfield str.","Lichfield Str",""
"2677",2011,"","Lichfield str.","Lichfield Str",""
"2678",2011,"","Lichfield str.","Lichfield Str",""
"2679",2011,"","Lichfield str.","Lichfield Str",""
"2680",2011,"","Lichfield str.","Lichfield Str",""
"2681",2011,"","Lichfield str.","Lichfield Str",""
"2682",2011,"","Lichfield str. Princess str. Wεδύε Ton","Lichfield Str Princess Str Wεδύε Ton",""
"2683",2011,"","Lichfield str. City Centre Wεδύε Ton","Lichfield Str City Centre Wεδύε Ton",""
"2684",2011,"","Lichfield str. City Centre Wεδύε Ton","Lichfield Str City Centre Wεδύε Ton",""
"2685",2011,"","Lichfield str. Wolverhampton","Lichfield Str Wolverhampton",""
"2686",2011,"","Lichfield str. W Ton","Lichfield Str W Ton",""
"2687",2011,"","Lower Villiers str.","Lower Villiers Str",""
"2688",2011,"","Lunt rd.","Lunt str.",""
"2689",2011,"","Market str. Wolverhampton","Market Str Wolverhampton",""
"2690",2011,"","Market str. Wolverhampton","Market Str Wolverhampton",""
"2691",2011,"","Market str. Wolves","Market Str Wolves",""
"2692",2011,"","Market str. Wton","Market Str Wton",""
"2693",2011,"","Market str.","Market Str",""
"2694",2011,"","Market str.","Market Str",""
"2695",2011,"","Market str.","Market Str",""
"2696",2011,"","Market str.","Market Str",""
"2697",2011,"","Market str.","Market Str",""
"2698",2011,"","Market str.","Market Str",""
"2699",2011,"","Market str. City Centre Wεδύε Ton","Market Str City Centre Wεδύε Ton",""
"2700",2011,"","Market str. Wolverhampton","Market Str Wolverhampton",""
"2701",2011,"","Market str. Wolverhampton","Market Str Wolverhampton",""
"2702",2011,"","Market str. Wolverhampton","Market Str Wolverhampton",""
"2703",2011,"","Market str. Wolverhampton","Market Str Wolverhampton",""
"2704",2011,"","Market str. Wolverhampton","Market Str Wolverhampton",""
"2705",2011,"","Market str. Wolverhampton","Market Str Wolverhampton",""
"2706",2011,"","Market str. Wolves","Market Str Wolves",""
"2707",2011,"","Market str. Wolves","Market Str Wolves",""
"2708",2011,"","Marsaton rd.","Marsaton str.",""
"2709",2011,"","Marston str. Wolverhampton","Marston Str Wolverhampton",""
"2710",2011,"","Millcroft Wolves",NA,""
"2711",2011,"","Moseley str. Wolverhampton","Moseley Str Wolverhampton",""
"2712",2011,"","Moseley rd. Bilston","Moseley str. Bilston",""
"2713",2011,"","Mount Pleasant",NA,""
"2714",2011,"","Mount Plesant Bilston",NA,""
"2715",2011,"","Near Yates Wine Bar Wolves City Centre",NA,""
"2716",2011,"","New Cross Hospital",NA,""
"2717",2011,"","New Cross Hospital",NA,""
"2718",2011,"","New Cross Hospital",NA,""
"2719",2011,"","New Cross Hospital",NA,""
"2720",2011,"","New Cross Hospital",NA,""
"2721",2011,"","New Cross Hospital Wolverhampton",NA,""
"2722",2011,"","New Cross Hospital Wolverhampton",NA,""
"2723",2011,"","New X Hospital",NA,""
"2724",2011,"","New X Hospital Wεδύε Ton",NA,""
"2725",2011,"","Newcross Hospital",NA,""
"2726",2011,"","Norfold rd. Pewnnfields Wεδύε Ton","Norfold str. Pewnnfields Wεδύε Ton",""
"2727",2011,"","North str.","North Str",""
"2728",2011,"","North str.","North Str",""
"2729",2011,"","North str.","North Str",""
"2730",2011,"","North str.","North Str",""
"2731",2011,"","North str.","North Str",""
"2732",2011,"","North str. Town Centre Wolverhampton","North Str Town Centre Wolverhampton",""
"2733",2011,"","Northwood Park rd. Wolves","Northwood Park str. Wolves",""
"2734",2011,"","O S Grapes Ph Moseley rd.","O S Grapes Ph Moseley str.",""
"2735",2011,"","O S Oceana Bilston str.","O S Oceana Bilston Str",""
"2736",2011,"","Oustide Yates Wolverhampton",NA,""
"2737",2011,"","Outsdie Yates Wine Bar Wolverhampton",NA,""
"2738",2011,"","Outside Subway Sandwich Shop Queens Square Wolverhampton",NA,""
"2739",2011,"","Outside The Avondale",NA,""
"2740",2011,"","Outside The Indie Bar",NA,""
"2741",2011,"","Outside Yates North str. Wolverhampton","Outside Yates North Str Wolverhampton",""
"2742",2011,"","Owen rd.","Owen str.",""
"2743",2011,"","Parkfield str.","Parkfield Str",""
"2744",2011,"","Penn rd.","Penn str.",""
"2745",2011,"","Penn rd. Wolves","Penn str. Wolves",""
"2746",2011,"","Pipers Row Wolverhampton",NA,""
"2747",2011,"","Pipers Row Wolverhampton",NA,""
"2748",2011,"","Pipers Row W Ton",NA,""
"2749",2011,"","Powell str. Woolverhampton","Powell Str Woolverhampton",""
"2750",2011,"","Prestwood rd.","Prestwood str.",""
"2751",2011,"","Pricess str.","Pricess Str",""
"2752",2011,"","Pricess str.","Pricess Str",""
"2753",2011,"","Prince Charles Pub Bushbury",NA,""
"2754",2011,"","Princess str. Wton","Princess Str Wton",""
"2755",2011,"","Princess str.","Princess Str",""
"2756",2011,"","Princess str.","Princess Str",""
"2757",2011,"","Princess str.","Princess Str",""
"2758",2011,"","Princess str.","Princess Str",""
"2759",2011,"","Princess str.","Princess Str",""
"2760",2011,"","Princess str. Walsall","Princess Str Walsall",""
"2761",2011,"","Prines str.","Prines Str",""
"2762",2011,"","Probert rd. Wton","Probert str. Wton",""
"2763",2011,"","Prosser str. Wolves","Prosser Str Wolves",""
"2764",2011,"","Prosser str.","Prosser Str",""
"2765",2011,"","Prowell str.","Prowell Str",""
"2766",2011,"","Queen Sq Wton",NA,""
"2767",2011,"","Queen Square",NA,""
"2768",2011,"","Queen Square",NA,""
"2769",2011,"","Queen Square",NA,""
"2770",2011,"","Queen Square Wolverhampton",NA,""
"2771",2011,"","Queen Square Wolverhampton",NA,""
"2772",2011,"","Queen Square Wton",NA,""
"2773",2011,"","Queen Squsre City Centre Wolverhampton",NA,""
"2774",2011,"","Queen str.","Queen Str",""
"2775",2011,"","Queen str.","Queen Str",""
"2776",2011,"","Queen str. Wolverhampton","Queen Str Wolverhampton",""
"2777",2011,"","Queen str. Wolverhampton","Queen Str Wolverhampton",""
"2778",2011,"","Queen str. Wolverhampton","Queen Str Wolverhampton",""
"2779",2011,"","Queen str. Market str. Wolverhampton","Queen Str Market Str Wolverhampton",""
"2780",2011,"","Queen str. Market str. Junction","Queen Str Market Str Junction",""
"2781",2011,"","Queen str.","Queen Str",""
"2782",2011,"","Queen str.","Queen Str",""
"2783",2011,"","Queen str.","Queen Str",""
"2784",2011,"","Queen str.","Queen Str",""
"2785",2011,"","Queen str.","Queen Str",""
"2786",2011,"","Queen str. Wolverhampton","Queen Str Wolverhampton",""
"2787",2011,"","Queen str. Wolverhampton","Queen Str Wolverhampton",""
"2788",2011,"","Queen str. Wolverhampton","Queen Str Wolverhampton",""
"2789",2011,"","Queen str. Wεδύε Ton","Queen Str Wεδύε Ton",""
"2790",2011,"","Queens Square Wolverhampton",NA,""
"2791",2011,"","Queens Square Wolverhampton",NA,""
"2792",2011,"","Queens str.","Queens Str",""
"2793",2011,"","Rear Of Civic Centre Wolverhampton",NA,""
"2794",2011,"","Ring rd.","Ring str.",""
"2795",2011,"","Ring rd. str. Georges Wolves","Ring str. Str Georges Wolves",""
"2796",2011,"","Royal London P H Wolves City Centre",NA,""
"2797",2011,"","Sainsburys str. Georges","Sainsburys Str Georges",""
"2798",2011,"","Salop str. Wolverhampton","Salop Str Wolverhampton",""
"2799",2011,"","Salop str. Wolves","Salop Str Wolves",""
"2800",2011,"","School str. Wton","School Str Wton",""
"2801",2011,"","School str.","School Str",""
"2802",2011,"","School str.","School Str",""
"2803",2011,"","School str. Wεδύε Ton","School Str Wεδύε Ton",""
"2804",2011,"","School str. W Ton","School Str W Ton",""
"2805",2011,"","Showell Circus",NA,""
"2806",2011,"","str. Georges Parade Wolverhampton","Str Georges Parade Wolverhampton",""
"2807",2011,"","str. Georges Parade Wolverhampton","Str Georges Parade Wolverhampton",""
"2808",2011,"","Stafford rd. Wolverhampton","Stafford str. Wolverhampton",""
"2809",2011,"","Stafford str.","Stafford Str",""
"2810",2011,"","Stafford str. Wton","Stafford Str Wton",""
"2811",2011,"","Stafford str.","Stafford Str",""
"2812",2011,"","Stafford str.","Stafford Str",""
"2813",2011,"","Stafford str. Wolverhampton","Stafford Str Wolverhampton",""
"2814",2011,"","Steel Park Lane Wton","Steel Park ln. Wton",""
"2815",2011,"","Subway Under Traffic Island At Junction Of Ring rd. And Bilston str.","Subway Under Traffic Island At Junction Of Ring str. And Bilston Str",""
"2816",2011,"","Sweetman str. Wton","Sweetman Str Wton",""
"2817",2011,"","Temple str.","Temple Str",""
"2818",2011,"","Tettenhall rd.","Tettenhall str.",""
"2819",2011,"","Tettenhall rd.","Tettenhall str.",""
"2820",2011,"","The Varsity City Centre",NA,""
"2821",2011,"","Thornley str.","Thornley Str",""
"2822",2011,"","Tower str.","Tower Str",""
"2823",2011,"","Train Station Wolverhampton",NA,""
"2824",2011,"","Trysull rd.","Trysull str.",""
"2825",2011,"","Vicarage rd. Wton","Vicarage str. Wton",""
"2826",2011,"","Victoria rd.","Victoria str.",""
"2827",2011,"","Victoria rd. Wfield Wton","Victoria str. Wfield Wton",""
"2828",2011,"","Victoria rd. Wfield Wton","Victoria str. Wfield Wton",""
"2829",2011,"","Victoria str.","Victoria Str",""
"2830",2011,"","Victoria str.","Victoria Str",""
"2831",2011,"","Victoria str.","Victoria Str",""
"2832",2011,"","Victoria str. Wolverhampton","Victoria Str Wolverhampton",""
"2833",2011,"","Victoria str. Wolverhampton","Victoria Str Wolverhampton",""
"2834",2011,"","Victoria str. Wεδύε Ton","Victoria Str Wεδύε Ton",""
"2835",2011,"","Villiers ave. Wolverhampton",NA,""
"2836",2011,"","Wallace str.","Wallace Str",""
"2837",2011,"","Wallace rd. Bradley","Wallace str. Bradley",""
"2838",2011,"","Walsall str. Bilston","Walsall Str Bilston",""
"2839",2011,"","Wanderers ave. Blakenhall",NA,""
"2840",2011,"","Wanderers ave. Wton",NA,""
"2841",2011,"","Warnford Walk Merry Hill Wεδύε Ton",NA,""
"2842",2011,"","Warstones Drive",NA,""
"2843",2011,"","Waterloo str.","Waterloo Str",""
"2844",2011,"","Waterloo str. Wolverhampton","Waterloo Str Wolverhampton",""
"2845",2011,"","Wednesfield High str. Wolves","Wednesfield High Str Wolves",""
"2846",2011,"","Wellington rd.","Wellington str.",""
"2847",2011,"","White Oaks str. Wton","White Oaks Str Wton",""
"2848",2011,"","Whitegates Drive Coseley",NA,""
"2849",2011,"","Willenhall rd. East Park Wolverhampton","Willenhall str. East Park Wolverhampton",""
"2850",2011,"","Willenhall rd. Jtn Deans rd. Wton","Willenhall str. Jtn Deans str. Wton",""
"2851",2011,"","William Hill Market str.","William Hill Market Str",""
"2852",2011,"","Wolverhamptn Train Station",NA,""
"2853",2011,"","Wolverhampton Train Station",NA,""
"2854",2011,"","Wolverhampton Railway Station",NA,""
"2855",2011,"","Wolverhampton Railway Station",NA,""
"2856",2011,"","Wolverhampton Railway Station",NA,""
"2857",2011,"","Wolverhampton rd. Wednesfield","Wolverhampton str. Wednesfield",""
"2858",2011,"","Wolverhampton rd. Wednesfield Wton","Wolverhampton str. Wednesfield Wton",""
"2859",2011,"","Wolverhampton Train Station",NA,""
"2860",2011,"","Wolves Railway Station",NA,""
"2861",2011,"","Wood End rd. Wednesfield","Wood End str. Wednesfield",""
"2862",2011,"","Woodland ave. Tettenhall Wood",NA,""
"2863",2011,"","Woolpack Alley",NA,""
"2864",2011,"","Wordsworth ave.",NA,""
"2865",2011,"","Wton Train Station",NA,""
"2866",2011,"","Wv Front Office",NA,""
"2867",2011,"","Wvfo",NA,""
"2868",2011,"","Wvfo",NA,""
"2869",2012,"Birmingham","Clemence rd.","Clemence str.",""
"2870",2012,"","Clemence rd.","Clemence str.",""
"2871",2012,"","Clemence rd.","Clemence str.",""
"2872",2012,"","Clemence rd.","Clemence str.",""
"2873",2012,"","Clemence rd.","Clemence str.",""
"2874",2012,"","Acocks Green Police Station",NA,""
"2875",2012,"","Albert rd.","Albert str.",""
"2876",2012,"","Alcester str. Moseley","Alcester Str Moseley",""
"2877",2012,"","Alcester rd.","Alcester str.",""
"2878",2012,"","Alcester rd.","Alcester str.",""
"2879",2012,"","Alcester rd. Moseley","Alcester str. Moseley",""
"2880",2012,"","Alcester rd. Moseley","Alcester str. Moseley",""
"2881",2012,"","Alcester rd. Outside Cross Ph","Alcester str. Outside Cross Ph",""
"2882",2012,"","Alcester rd. Moseley","Alcester str. Moseley",""
"2883",2012,"","Alecester rd.","Alecester str.",""
"2884",2012,"","Alum Rock rd.","Alum Rock str.",""
"2885",2012,"","Alum Rock rd.","Alum Rock str.",""
"2886",2012,"","Alum Rock rd.","Alum Rock str.",""
"2887",2012,"","Alum Rock rd. Alum Rock","Alum Rock str. Alum Rock",""
"2888",2012,"","Banford rd. Ward End","Banford str. Ward End",""
"2889",2012,"","Belchers Lane","Belchers ln.",""
"2890",2012,"","Belgrave Middle Way",NA,""
"2891",2012,"","Belgravia Close",NA,""
"2892",2012,"","Bennetts Hill City Centre",NA,""
"2893",2012,"","Berkely rd.","Berkely str.",""
"2894",2012,"","Birchley Rise Wagon Lane Olton","Birchley Rise Wagon ln. Olton",""
"2895",2012,"","Birchtree Drive",NA,""
"2896",2012,"","Birmingham New str.","Birmingham New Str",""
"2897",2012,"","Birmingham rd. Castle Bromwich","Birmingham str. Castle Bromwich",""
"2898",2012,"","Birmingham rd. Sutton Coldfield","Birmingham str. Sutton Coldfield",""
"2899",2012,"","Bistol rd. Selly Oak","Bistol str. Selly Oak",""
"2900",2012,"","Blake Place Bordesley Green",NA,""
"2901",2012,"","Bordesley Green",NA,""
"2902",2012,"","Bordesley Green East",NA,""
"2903",2012,"","Bordesley Green rd. Bordesley Green","Bordesley Green str. Bordesley Green",""
"2904",2012,"","Bordesley Green",NA,""
"2905",2012,"","Bordesly Green Bordesley Green",NA,""
"2906",2012,"","Boscombe rd. Tyseley","Boscombe str. Tyseley",""
"2907",2012,"","Bournville Lane","Bournville ln.",""
"2908",2012,"","Bristol rd.","Bristol str.",""
"2909",2012,"","Bristol rd. South","Bristol str. South",""
"2910",2012,"","Broad str.","Broad Str",""
"2911",2012,"","Broad str.","Broad Str",""
"2912",2012,"","Broad str.","Broad Str",""
"2913",2012,"","Broad str.","Broad Str",""
"2914",2012,"","Brookhill rd.","Brookhill str.",""
"2915",2012,"","Brooklands rd.","Brooklands str.",""
"2916",2012,"","Brunswick rd.","Brunswick str.",""
"2917",2012,"","Bulls Head Mosely",NA,""
"2918",2012,"","Caldwell rd.","Caldwell str.",""
"2919",2012,"","Church rd. Yardley","Church str. Yardley",""
"2920",2012,"","Church rd. Yardley","Church str. Yardley",""
"2921",2012,"","Church rd. Yew Tree","Church str. Yew Tree",""
"2922",2012,"","Clodeshall rd.","Clodeshall str.",""
"2923",2012,"","Coleshill rd.","Coleshill str.",""
"2924",2012,"","Cotterills Lane","Cotterills ln.",""
"2925",2012,"","Coventry rd.","Coventry str.",""
"2926",2012,"","Coventry str. Sheldon Nr British Legion Ivy Leaf","Coventry Str Sheldon Nr British Legion Ivy Leaf",""
"2927",2012,"","Coventry str.","Coventry Str",""
"2928",2012,"","Coventry rd.","Coventry str.",""
"2929",2012,"","Coventry rd. Small Heath","Coventry str. Small Heath",""
"2930",2012,"","Cranespark rd.","Cranespark str.",""
"2931",2012,"","Dale End",NA,""
"2932",2012,"","Drews Lane Ward End","Drews ln. Ward End",""
"2933",2012,"","Elizabeth rd.","Elizabeth str.",""
"2934",2012,"","Emily rd. Acocks Green Birmingham","Emily str. Acocks Green Birmingham",""
"2935",2012,"","Flaxton Grove Kitts Green",NA,""
"2936",2012,"","Foxton rd. Washwood Heath","Foxton str. Washwood Heath",""
"2937",2012,"","Front Offcie Kings Heath Police Station",NA,""
"2938",2012,"","Front Office Stechford Police Station",NA,""
"2939",2012,"","Gibbins rd.","Gibbins str.",""
"2940",2012,"","Gilsan Way",NA,""
"2941",2012,"","Gospel Farm rd.","Gospel Farm str.",""
"2942",2012,"","Gospel Lane Acocks Green","Gospel ln. Acocks Green",""
"2943",2012,"","Green Lane Bordesley Green","Green ln. Bordesley Green",""
"2944",2012,"","Greswold rd.","Greswold str.",""
"2945",2012,"","Harbourne rd. Harbourne","Harbourne str. Harbourne",""
"2946",2012,"","Hazelville rd. Hall Green","Hazelville str. Hall Green",""
"2947",2012,"","Heartlands Hospital",NA,""
"2948",2012,"","Heartlands Hospital",NA,""
"2949",2012,"","Heartlands Hospital",NA,""
"2950",2012,"","Heartlands Hospital",NA,""
"2951",2012,"","Heathfield rd.","Heathfield str.",""
"2952",2012,"","Herrick rd.","Herrick str.",""
"2953",2012,"","High str.","High Str",""
"2954",2012,"","High str. Kings Heath","High Str Kings Heath",""
"2955",2012,"","High str. Solihull","High Str Solihull",""
"2956",2012,"","Highfield rd.","Highfield str.",""
"2957",2012,"","Highfield rd. Spark Brook","Highfield str. Spark Brook",""
"2958",2012,"","Home Address",NA,""
"2959",2012,"","Homer str. Near Holiday Inn","Homer Str Near Holiday Inn",""
"2960",2012,"","Horrell rd. Sheldon","Horrell str. Sheldon",""
"2961",2012,"","Ivy House rd. West Heath","Ivy House str. West Heath",""
"2962",2012,"","Jakeman rd.","Jakeman str.",""
"2963",2012,"","Juniper Close",NA,""
"2964",2012,"","Kemberton rd.","Kemberton str.",""
"2965",2012,"","Kings Heath High str.","Kings Heath High Str",""
"2966",2012,"","Kings Norton Green",NA,""
"2967",2012,"","Lady Pool rd.","Lady Pool str.",""
"2968",2012,"","Lady Pool rd.","Lady Pool str.",""
"2969",2012,"","Ladypool rd.","Ladypool str.",""
"2970",2012,"","Lea Hall rd.","Lea Hall str.",""
"2971",2012,"","Lower Severn str.","Lower Severn Str",""
"2972",2012,"","Mary str.","Mary Str",""
"2973",2012,"","Mary str.","Mary Str",""
"2974",2012,"","Middle Park rd.","Middle Park str.",""
"2975",2012,"","Milestone House",NA,""
"2976",2012,"","Milestone House",NA,""
"2977",2012,"","Milestone House",NA,""
"2978",2012,"","Monyhull rd.","Monyhull str.",""
"2979",2012,"","Moseley rd.","Moseley str.",""
"2980",2012,"","New str. Railway Station","New Str Railway Station",""
"2981",2012,"","New str. Station","New Str Station",""
"2982",2012,"","Northliegh str. Ward End","Northliegh Str Ward End",""
"2983",2012,"","O S Assembly Rooms Poplar Way Solihull",NA,""
"2984",2012,"","O S Assembly Rooms Solihull Town Centre",NA,""
"2985",2012,"","O S Chargrill Chicken Coventry rd.","O S Chargrill Chicken Coventry str.",""
"2986",2012,"","Olton Boulevard East",NA,""
"2987",2012,"","Out Side Fish Bar Hobmoore rd.","Out Side Fish Bar Hobmoore str.",""
"2988",2012,"","Outside Arden Oak Pub",NA,""
"2989",2012,"","Outside str. Colombia Nursery Alcester rd.","Outside Str Colombia Nursery Alcester str.",""
"2990",2012,"","Outside The Bulls Head",NA,""
"2991",2012,"","Parker str. Edgbaston","Parker Str Edgbaston",""
"2992",2012,"","Parkland On The Heathway",NA,""
"2993",2012,"","Partridge rd.","Partridge str.",""
"2994",2012,"","Pershore rd.","Pershore str.",""
"2995",2012,"","Plymouth rd. Stirchley","Plymouth str. Stirchley",""
"2996",2012,"","Poplar rd. Solihull","Poplar str. Solihull",""
"2997",2012,"","Rea rd.","Rea str.",""
"2998",2012,"","Regency Hotel",NA,""
"2999",2012,"","Runcurn rd. Balsall Heath","Runcurn str. Balsall Heath",""
"3000",2012,"","School rd.","School str.",""
"3001",2012,"","Sheath Lane","Sheath ln.",""
"3002",2012,"","Sheldon Heath Park",NA,""
"3003",2012,"","Shirley rd. Acocks Green","Shirley str. Acocks Green",""
"3004",2012,"","Solihull Town Centre",NA,""
"3005",2012,"","str. Marys rd.","Str Marys str.",""
"3006",2012,"","str. Marys Row","Str Marys Row",""
"3007",2012,"","str. Mary S Row Moseley","Str Mary S Row Moseley",""
"3008",2012,"","str. Pauls rd.","Str Pauls str.",""
"3009",2012,"","str. Pauls rd.","Str Pauls str.",""
"3010",2012,"","Station rd. Stechford","Station str. Stechford",""
"3011",2012,"","Station rd. Stechford","Station str. Stechford",""
"3012",2012,"","Station rd. Solihul","Station str. Solihul",""
"3013",2012,"","Station rd. Solihul","Station str. Solihul",""
"3014",2012,"","Station rd. Solihul","Station str. Solihul",""
"3015",2012,"","Station rd. Solihul","Station str. Solihul",""
"3016",2012,"","Station rd. Solihul","Station str. Solihul",""
"3017",2012,"","Station rd. Solihul","Station str. Solihul",""
"3018",2012,"","Stechford Police Station",NA,""
"3019",2012,"","Stechford Swimming Baths",NA,""
"3020",2012,"","Stoney Lane","Stoney ln.",""
"3021",2012,"","Stratford rd.","Stratford str.",""
"3022",2012,"","Stratford rd. Sparkbrook","Stratford str. Sparkbrook",""
"3023",2012,"","Stratford rd. Sparkhill","Stratford str. Sparkhill",""
"3024",2012,"","Summerfield rd. Weoley Castle","Summerfield str. Weoley Castle",""
"3025",2012,"","Sunbeam Way",NA,""
"3026",2012,"","Swanshurst Park",NA,""
"3027",2012,"","The Parade Sutton Coldfield",NA,""
"3028",2012,"","The Radleys",NA,""
"3029",2012,"","Tile Cross rd.","Tile Cross str.",""
"3030",2012,"","Tote Betting Shop Alum Rock rd.","Tote Betting Shop Alum Rock str.",""
"3031",2012,"","Turnburry rd.","Turnburry str.",""
"3032",2012,"","Umberslade rd. Selly Oak","Umberslade str. Selly Oak",""
"3033",2012,"","Vicarage rd. Kinghs Heath","Vicarage str. Kinghs Heath",""
"3034",2012,"","Victoria rd. Bordesley Green","Victoria str. Bordesley Green",""
"3035",2012,"","Wake Green rd.","Wake Green str.",""
"3036",2012,"","Ward End Park",NA,""
"3037",2012,"","Warwich str.","Warwich Str",""
"3038",2012,"","Warwick rd.","Warwick str.",""
"3039",2012,"","Warwick rd. Accocks Green","Warwick str. Accocks Green",""
"3040",2012,"","Wash Lane","Wash ln.",""
"3041",2012,"","Washwood Heath rd.","Washwood Heath str.",""
"3042",2012,"","Washwood Heath rd.","Washwood Heath str.",""
"3043",2012,"","Watson rd. Alum Rock","Watson str. Alum Rock",""
"3044",2012,"","Wheatcroft rd. Chelmesley Wood","Wheatcroft str. Chelmesley Wood",""
"3045",2012,"","Wheatsheaf Ph Coventry rd. Sheldon","Wheatsheaf Ph Coventry str. Sheldon",""
"3046",2012,"","Wheatsheaf Coventry rd.","Wheatsheaf Coventry str.",""
"3047",2012,"","William Hill Bookmakers Washwood Heath rd.","William Hill Bookmakers Washwood Heath str.",""
"3048",2012,"","Woodbridge str.","Woodbridge Str",""
"3049",2012,"","Woodbridge rd.","Woodbridge str.",""
"3050",2012,"","Acorn Public House",NA,""
"3051",2012,"","Atlantic str.","Atlantic Str",""
"3052",2012,"","Aylesbury Crescent Kingstanding B Ham",NA,""
"3053",2012,"","Beggers Bush",NA,""
"3054",2012,"","Bendall str. Kingstanding","Bendall Str Kingstanding",""
"3055",2012,"","Berryfields rd. Walmley Sutton Coldfield","Berryfields str. Walmley Sutton Coldfield",""
"3056",2012,"","Birmingham str.","Birmingham Str",""
"3057",2012,"","Birmingham rd.","Birmingham str.",""
"3058",2012,"","Birmingham rd.","Birmingham str.",""
"3059",2012,"","Birmingham rd.","Birmingham str.",""
"3060",2012,"","Birmingham rd. Wylde Green","Birmingham str. Wylde Green",""
"3061",2012,"","Birmingham rd. Wylde Green","Birmingham str. Wylde Green",""
"3062",2012,"","Boldmere rd.","Boldmere str.",""
"3063",2012,"","Bottle Of Sack",NA,""
"3064",2012,"","Boundary rd. Erdington","Boundary str. Erdington",""
"3065",2012,"","Brassington ave. Sutton Coldfield",NA,""
"3066",2012,"","Broad str.","Broad Str",""
"3067",2012,"","Capilano rd. Erdington","Capilano str. Erdington",""
"3068",2012,"","Car Park Lidl Pelham str. Alum Rock","Car Park Lidl Pelham Str Alum Rock",""
"3069",2012,"","Car Park Of Old Speckled Hen Public House Mere Green",NA,""
"3070",2012,"","Car Park Reddicap Tavern Hollyfield rd. Falcon Lodge","Car Park Reddicap Tavern Hollyfield str. Falcon Lodge",""
"3071",2012,"","Car Park Kenilworth Court Wheelwright str.","Car Park Kenilworth Court Wheelwright Str",""
"3072",2012,"","Chester rd.","Chester str.",""
"3073",2012,"","Chesterfield Grove Pype Hayes",NA,""
"3074",2012,"","Chipstead rd.","Chipstead str.",""
"3075",2012,"","Church rd. Erdington","Church str. Erdington",""
"3076",2012,"","Coton Lane Erdington B Ham","Coton ln. Erdington B Ham",""
"3077",2012,"","Cottishall Walk",NA,""
"3078",2012,"","Court Lane","Court ln.",""
"3079",2012,"","Court Lane","Court ln.",""
"3080",2012,"","Duke str.","Duke Str",""
"3081",2012,"","Ebrook rd. Sutton Coldfield","Ebrook str. Sutton Coldfield",""
"3082",2012,"","Emscote rd.","Emscote str.",""
"3083",2012,"","Erdington High str.","Erdington High Str",""
"3084",2012,"","Erdington High str.","Erdington High Str",""
"3085",2012,"","Erdington High str.","Erdington High Str",""
"3086",2012,"","Firbeck Grove",NA,""
"3087",2012,"","Frances rd. Erdington","Frances str. Erdington",""
"3088",2012,"","Front Odffice Sutton Coldfield",NA,""
"3089",2012,"","Good Hope Hospital",NA,""
"3090",2012,"","Gracechuch Shopping Centre Sutton Coldfield",NA,""
"3091",2012,"","Gravelly Hill",NA,""
"3092",2012,"","Hairy Lemon Erdington High str.","Hairy Lemon Erdington High Str",""
"3093",2012,"","Hairy Lemon Lower Parade",NA,""
"3094",2012,"","Hairy Lemon Lower Parade",NA,""
"3095",2012,"","Hampton rd. Erdington B Ham","Hampton str. Erdington B Ham",""
"3096",2012,"","Hellbey Close",NA,""
"3097",2012,"","High str. Sutton Coldfield","High Str Sutton Coldfield",""
"3098",2012,"","High str. Erdington","High Str Erdington",""
"3099",2012,"","High str. Erdington","High Str Erdington",""
"3100",2012,"","High str. Erdington","High Str Erdington",""
"3101",2012,"","High str. Erdington","High Str Erdington",""
